A.size() = 999771, combined=3
A.size() = 999770, combined=3
A.size() = 999769, combined=3
A.size() = 999768, combined=3
A.size() = 999767, combined=3
A.size() = 999766, combined=3
A.size() = 999765, combined=3
A.size() = 999764, combined=3
A.size() = 999763, combined=3
A.size() = 999762, combined=3
A.size() = 999761, combined=3
A.size() = 999760, combined=3
A.size() = 999759, combined=3
A.size() = 999758, combined=3
A.size() = 999757, combined=3
A.size() = 999756, combined=3
A.size() = 999755, combined=3
A.size() = 999754, combined=3
A.size() = 999753, combined=3
A.size() = 999752, combined=3
A.size() = 999751, combined=3
A.size() = 999750, combined=3
A.size() = 999749, combined=3
A.size() = 999748, combined=3
A.size() = 999747, combined=3
A.size() = 999746, combined=3
A.size() = 999745, combined=3
A.size() = 999744, combined=3
A.size() = 999743, combined=3
A.size() = 999742, combined=3
A.size() = 999741, combined=3
A.size() = 999740, combined=3
A.size() = 999739, combined=3
A.size() = 999738, combined=3
A.size() = 999737, combined=3
A.size() = 999736, combined=3
A.size() = 999735, combined=3
A.size() = 999734, combined=3
A.size() = 999733, combined=3
A.size() = 999732, combined=3
A.size() = 999731, combined=3
A.size() = 999730, combined=3
A.size() = 999729, combined=3
A.size() = 999728, combined=3
A.size() = 999727, combined=3
A.size() = 999726, combined=3
A.size() = 999725, combined=3
A.size() = 999724, combined=3
A.size() = 999723, combined=3
A.size() = 999722, combined=3
A.size() = 999721, combined=3
A.size() = 999720, combined=3
A.size() = 999719, combined=3
A.size() = 999718, combined=3
A.size() = 999717, combined=3
A.size() = 999716, combined=3
A.size() = 999715, combined=3
A.size() = 999714, combined=3
A.size() = 999713, combined=3
A.size() = 999712, combined=3
A.size() = 999711, combined=3
A.size() = 999710, combined=3
A.size() = 999709, combined=3
A.size() = 999708, combined=3
A.size() = 999707, combined=3
A.size() = 999706, combined=3
A.size() = 999705, combined=3
A.size() = 999704, combined=3
